REJECTION_ID,SAMPLE_ID,EVENT_ID,GRAPH_ID,OUTLET_ID,FORECAST_TIME,TARGET_START,TARGET_END,TARGET_VARIABLE,TARGET_COVERAGE,MIN_TARGET_COVERAGE,REASON,SPLIT
R000000019,,B021_F0001,B021,612E2390,2021-04-13 07:00:00,2021-04-13 08:00:00,2021-04-13 13:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000020,,B021_F0001,B021,612E2390,2021-04-13 08:00:00,2021-04-13 09:00:00,2021-04-13 14:00:00,FLOW,0.3333333333,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000021,,B021_F0001,B021,612E2390,2021-04-13 09:00:00,2021-04-13 10:00:00,2021-04-13 15:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000022,,B021_F0001,B021,612E2390,2021-04-13 10:00:00,2021-04-13 11:00:00,2021-04-13 16:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000023,,B021_F0001,B021,612E2390,2021-04-14 09:00:00,2021-04-14 10:00:00,2021-04-14 15:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000024,,B017_F0001,B017,611H1650,2021-04-14 03:00:00,2021-04-14 04:00:00,2021-04-14 09:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000025,,B017_F0001,B017,611H1650,2021-04-14 04:00:00,2021-04-14 05:00:00,2021-04-14 10:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000026,,B017_F0001,B017,611H1650,2021-04-14 05:00:00,2021-04-14 06:00:00,2021-04-14 11:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000027,,B017_F0001,B017,611H1650,2021-04-14 06:00:00,2021-04-14 07:00:00,2021-04-14 12:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000028,,B017_F0001,B017,611H1650,2021-04-15 05:00:00,2021-04-15 06:00:00,2021-04-15 11:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000029,,B017_F0001,B017,611H1650,2021-04-15 06:00:00,2021-04-15 07:00:00,2021-04-15 12:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000030,,B017_F0002,B017,611H1650,2021-04-19 03:00:00,2021-04-19 04:00:00,2021-04-19 09:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000031,,B017_F0002,B017,611H1650,2021-04-19 04:00:00,2021-04-19 05:00:00,2021-04-19 10:00:00,WATER_LEVEL,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000032,,B017_F0002,B017,611H1650,2021-04-19 05:00:00,2021-04-19 06:00:00,2021-04-19 11:00:00,WATER_LEVEL,0.3333333333,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000033,,B017_F0002,B017,611H1650,2021-04-19 06:00:00,2021-04-19 07:00:00,2021-04-19 12:00:00,WATER_LEVEL,0.1666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000034,,B017_F0002,B017,611H1650,2021-04-19 07:00:00,2021-04-19 08:00:00,2021-04-19 13:00:00,WATER_LEVEL,0.1666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000035,,B017_F0002,B017,611H1650,2021-04-19 08:00:00,2021-04-19 09:00:00,2021-04-19 14:00:00,WATER_LEVEL,0.1666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000036,,B017_F0002,B017,611H1650,2021-04-19 09:00:00,2021-04-19 10:00:00,2021-04-19 15:00:00,WATER_LEVEL,0.3333333333,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000037,,B017_F0002,B017,611H1650,2021-04-19 10:00:00,2021-04-19 11:00:00,2021-04-19 16:00:00,WATER_LEVEL,0.3333333333,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000038,,B017_F0002,B017,611H1650,2021-04-19 11:00:00,2021-04-19 12:00:00,2021-04-19 17:00:00,WATER_LEVEL,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000039,,B017_F0002,B017,611H1650,2021-04-19 12:00:00,2021-04-19 13:00:00,2021-04-19 18:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000040,,B025_F0001,B025,613E2580,2021-04-20 15:00:00,2021-04-20 16:00:00,2021-04-20 21:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000041,,B025_F0001,B025,613E2580,2021-04-20 16:00:00,2021-04-20 17:00:00,2021-04-20 22:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000042,,B025_F0001,B025,613E2580,2021-04-20 17:00:00,2021-04-20 18:00:00,2021-04-20 23:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000043,,B025_F0001,B025,613E2580,2021-04-20 18:00:00,2021-04-20 19:00:00,2021-04-21 00:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000044,,B034_F0001,B034,61711890,2021-04-22 18:00:00,2021-04-22 19:00:00,2021-04-23 00:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000045,,B034_F0001,B034,61711890,2021-04-22 19:00:00,2021-04-22 20:00:00,2021-04-23 01:00:00,WATER_LEVEL,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000046,,B034_F0001,B034,61711890,2021-04-22 20:00:00,2021-04-22 21:00:00,2021-04-23 02:00:00,WATER_LEVEL,0.3333333333,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000047,,B034_F0001,B034,61711890,2021-04-22 21:00:00,2021-04-22 22:00:00,2021-04-23 03:00:00,WATER_LEVEL,0.1666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000048,,B034_F0001,B034,61711890,2021-04-22 22:00:00,2021-04-22 23:00:00,2021-04-23 04:00:00,WATER_LEVEL,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000049,,B034_F0001,B034,61711890,2021-04-22 23:00:00,2021-04-23 00:00:00,2021-04-23 05:00:00,WATER_LEVEL,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000050,,B034_F0001,B034,61711890,2021-04-23 00:00:00,2021-04-23 01:00:00,2021-04-23 06:00:00,WATER_LEVEL,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000051,,B034_F0001,B034,61711890,2021-04-23 01:00:00,2021-04-23 02:00:00,2021-04-23 07:00:00,WATER_LEVEL,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000052,,B034_F0001,B034,61711890,2021-04-23 02:00:00,2021-04-23 03:00:00,2021-04-23 08:00:00,WATER_LEVEL,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000053,,B034_F0001,B034,61711890,2021-04-23 03:00:00,2021-04-23 04:00:00,2021-04-23 09:00:00,WATER_LEVEL,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000054,,B034_F0001,B034,61711890,2021-04-23 04:00:00,2021-04-23 05:00:00,2021-04-23 10:00:00,WATER_LEVEL,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000055,,B034_F0001,B034,61711890,2021-04-23 05:00:00,2021-04-23 06:00:00,2021-04-23 11:00:00,WATER_LEVEL,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000056,,B034_F0001,B034,61711890,2021-04-23 06:00:00,2021-04-23 07:00:00,2021-04-23 12:00:00,WATER_LEVEL,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000057,,B034_F0001,B034,61711890,2021-04-23 07:00:00,2021-04-23 08:00:00,2021-04-23 13:00:00,WATER_LEVEL,0.1666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000058,,B034_F0001,B034,61711890,2021-04-23 08:00:00,2021-04-23 09:00:00,2021-04-23 14:00:00,WATER_LEVEL,0.3333333333,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000059,,B034_F0001,B034,61711890,2021-04-23 09:00:00,2021-04-23 10:00:00,2021-04-23 15:00:00,WATER_LEVEL,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000060,,B034_F0001,B034,61711890,2021-04-23 10:00:00,2021-04-23 11:00:00,2021-04-23 16:00:00,WATER_LEVEL,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000061,,B006_F0001,B006,61116100,2021-04-22 18:00:00,2021-04-22 19:00:00,2021-04-23 00:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000062,,B006_F0001,B006,61116100,2021-04-22 19:00:00,2021-04-22 20:00:00,2021-04-23 01:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000063,,B006_F0001,B006,61116100,2021-04-22 20:00:00,2021-04-22 21:00:00,2021-04-23 02:00:00,FLOW,0.3333333333,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000064,,B006_F0001,B006,61116100,2021-04-22 21:00:00,2021-04-22 22:00:00,2021-04-23 03:00:00,FLOW,0.1666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000065,,B021_F0002,B021,612E2390,2021-05-04 19:00:00,2021-05-04 20:00:00,2021-05-05 01:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000066,,B021_F0002,B021,612E2390,2021-05-04 20:00:00,2021-05-04 21:00:00,2021-05-05 02:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000067,,B021_F0002,B021,612E2390,2021-05-04 21:00:00,2021-05-04 22:00:00,2021-05-05 03:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000068,,B021_F0002,B021,612E2390,2021-05-04 22:00:00,2021-05-04 23:00:00,2021-05-05 04:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000069,,B021_F0002,B021,612E2390,2021-05-04 23:00:00,2021-05-05 00:00:00,2021-05-05 05:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000070,,B021_F0002,B021,612E2390,2021-05-05 00:00:00,2021-05-05 01:00:00,2021-05-05 06:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000071,,B021_F0002,B021,612E2390,2021-05-05 21:00:00,2021-05-05 22:00:00,2021-05-06 03:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000072,,B021_F0002,B021,612E2390,2021-05-05 22:00:00,2021-05-05 23:00:00,2021-05-06 04:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000073,,B021_F0002,B021,612E2390,2021-05-05 23:00:00,2021-05-06 00:00:00,2021-05-06 05:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000074,,B021_F0002,B021,612E2390,2021-05-06 00:00:00,2021-05-06 01:00:00,2021-05-06 06:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000075,,B021_F0002,B021,612E2390,2021-05-06 01:00:00,2021-05-06 02:00:00,2021-05-06 07:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000076,,B021_F0002,B021,612E2390,2021-05-06 02:00:00,2021-05-06 03:00:00,2021-05-06 08:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000077,,B021_F0003,B021,612E2390,2021-05-17 05:00:00,2021-05-17 06:00:00,2021-05-17 11:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000078,,B021_F0003,B021,612E2390,2021-05-17 06:00:00,2021-05-17 07:00:00,2021-05-17 12:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000079,,B021_F0003,B021,612E2390,2021-05-17 07:00:00,2021-05-17 08:00:00,2021-05-17 13:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000080,,B021_F0003,B021,612E2390,2021-05-17 09:00:00,2021-05-17 10:00:00,2021-05-17 15:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000081,,B021_F0003,B021,612E2390,2021-05-17 10:00:00,2021-05-17 11:00:00,2021-05-17 16:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000082,,B021_F0003,B021,612E2390,2021-05-17 11:00:00,2021-05-17 12:00:00,2021-05-17 17:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000083,,B021_F0003,B021,612E2390,2021-05-17 12:00:00,2021-05-17 13:00:00,2021-05-17 18:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000084,,B021_F0003,B021,612E2390,2021-05-17 13:00:00,2021-05-17 14:00:00,2021-05-17 19:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000085,,B021_F0003,B021,612E2390,2021-05-17 14:00:00,2021-05-17 15:00:00,2021-05-17 20:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000086,,B021_F0003,B021,612E2390,2021-05-18 03:00:00,2021-05-18 04:00:00,2021-05-18 09:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000087,,B021_F0003,B021,612E2390,2021-05-18 04:00:00,2021-05-18 05:00:00,2021-05-18 10:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000088,,B021_F0003,B021,612E2390,2021-05-18 05:00:00,2021-05-18 06:00:00,2021-05-18 11:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000089,,B021_F0003,B021,612E2390,2021-05-18 06:00:00,2021-05-18 07:00:00,2021-05-18 12:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000090,,B003_F0002,B003,61109600,2021-05-24 11:00:00,2021-05-24 12:00:00,2021-05-24 17:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000091,,B003_F0002,B003,61109600,2021-05-24 12:00:00,2021-05-24 13:00:00,2021-05-24 18:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000092,,B003_F0002,B003,61109600,2021-05-24 13:00:00,2021-05-24 14:00:00,2021-05-24 19:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000093,,B003_F0002,B003,61109600,2021-05-24 14:00:00,2021-05-24 15:00:00,2021-05-24 20:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000094,,B003_F0002,B003,61109600,2021-05-24 15:00:00,2021-05-24 16:00:00,2021-05-24 21:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000095,,B033_F0005,B033,61510100,2021-05-24 05:00:00,2021-05-24 06:00:00,2021-05-24 11:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000096,,B033_F0005,B033,61510100,2021-05-24 06:00:00,2021-05-24 07:00:00,2021-05-24 12:00:00,FLOW,0.3333333333,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000097,,B033_F0005,B033,61510100,2021-05-24 07:00:00,2021-05-24 08:00:00,2021-05-24 13:00:00,FLOW,0.1666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000098,,B033_F0005,B033,61510100,2021-05-24 08:00:00,2021-05-24 09:00:00,2021-05-24 14:00:00,FLOW,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000099,,B033_F0005,B033,61510100,2021-05-24 09:00:00,2021-05-24 10:00:00,2021-05-24 15:00:00,FLOW,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000100,,B033_F0005,B033,61510100,2021-05-24 10:00:00,2021-05-24 11:00:00,2021-05-24 16:00:00,FLOW,0,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000101,,B033_F0005,B033,61510100,2021-05-24 11:00:00,2021-05-24 12:00:00,2021-05-24 17:00:00,FLOW,0.1666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000102,,B033_F0005,B033,61510100,2021-05-24 12:00:00,2021-05-24 13:00:00,2021-05-24 18:00:00,FLOW,0.3333333333,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000103,,B033_F0005,B033,61510100,2021-05-24 13:00:00,2021-05-24 14:00:00,2021-05-24 19:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000104,,B033_F0005,B033,61510100,2021-05-24 14:00:00,2021-05-24 15:00:00,2021-05-24 20:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000105,,B021_F0004,B021,612E2390,2021-05-29 03:00:00,2021-05-29 04:00:00,2021-05-29 09:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000106,,B021_F0004,B021,612E2390,2021-05-29 16:00:00,2021-05-29 17:00:00,2021-05-29 22:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000107,,B021_F0004,B021,612E2390,2021-05-30 10:00:00,2021-05-30 11:00:00,2021-05-30 16:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000108,,B021_F0004,B021,612E2390,2021-05-30 11:00:00,2021-05-30 12:00:00,2021-05-30 17:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000109,,B021_F0004,B021,612E2390,2021-05-30 12:00:00,2021-05-30 13:00:00,2021-05-30 18:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000110,,B021_F0004,B021,612E2390,2021-05-30 13:00:00,2021-05-30 14:00:00,2021-05-30 19:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000111,,B021_F0004,B021,612E2390,2021-05-30 14:00:00,2021-05-30 15:00:00,2021-05-30 20:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000112,,B021_F0004,B021,612E2390,2021-05-30 15:00:00,2021-05-30 16:00:00,2021-05-30 21:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000113,,B021_F0004,B021,612E2390,2021-05-30 23:00:00,2021-05-31 00:00:00,2021-05-31 05:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000114,,B021_F0004,B021,612E2390,2021-05-31 00:00:00,2021-05-31 01:00:00,2021-05-31 06:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000115,,B021_F0004,B021,612E2390,2021-05-31 01:00:00,2021-05-31 02:00:00,2021-05-31 07:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000116,,B021_F0004,B021,612E2390,2021-05-31 02:00:00,2021-05-31 03:00:00,2021-05-31 08:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000117,,B021_F0004,B021,612E2390,2021-05-31 03:00:00,2021-05-31 04:00:00,2021-05-31 09:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000118,,B021_F0004,B021,612E2390,2021-05-31 04:00:00,2021-05-31 05:00:00,2021-05-31 10:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000119,,B003_F0003,B003,61109600,2021-06-03 12:00:00,2021-06-03 13:00:00,2021-06-03 18:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000120,,B003_F0003,B003,61109600,2021-06-03 13:00:00,2021-06-03 14:00:00,2021-06-03 19:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000121,,B003_F0003,B003,61109600,2021-06-03 14:00:00,2021-06-03 15:00:00,2021-06-03 20:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000122,,B003_F0003,B003,61109600,2021-06-03 15:00:00,2021-06-03 16:00:00,2021-06-03 21:00:00,FLOW,0.5,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000123,,B003_F0003,B003,61109600,2021-06-03 16:00:00,2021-06-03 17:00:00,2021-06-03 22:00:00,FLOW,0.3333333333,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000124,,B001_F0001,B001,61105000,2021-06-03 09:00:00,2021-06-03 10:00:00,2021-06-03 15:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000125,,B001_F0001,B001,61105000,2021-06-03 10:00:00,2021-06-03 11:00:00,2021-06-03 16:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000126,,B001_F0001,B001,61105000,2021-06-03 11:00:00,2021-06-03 12:00:00,2021-06-03 17:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000127,,B001_F0001,B001,61105000,2021-06-03 12:00:00,2021-06-03 13:00:00,2021-06-03 18:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
R000000128,,B001_F0001,B001,61105000,2021-06-03 13:00:00,2021-06-03 14:00:00,2021-06-03 19:00:00,FLOW,0.6666666667,0.8,TARGET_COVERAGE_BELOW_THRESHOLD,TRAIN
